date,day,day_of_week,day_name,week,month,month_name,quarter,year,product_id,asin,sku,product_name,category,selling_price,unit_cost,campaign_id,campaign_name,campaign_type,targeting_type,daily_budget,campaign_start_date,campaign_end_date,ad_group_id,ad_group_name,target_id,target_type,target_value,match_type,default_bid,impressions,clicks,spend,orders,units_sold,attributed_sales,cogs,gross_profit_before_ads,ad_profit
2025-10-01,1,3,Wednesday,40,10,October,4,2025,P001,B0NXL00001,NXL-KIT-001,Electric Milk Frother,Kitchen,29.90,11.50,C001,SP - Milk Frother - AUTO,Sponsored Products,AUTO,18.00,2025-10-01,,AG001,Milk Frother - Auto,T001,AUTO,close_match,,0.75,159,9,7.11,1,1,29.90,11.50,18.40,11.29
2025-10-01,1,3,Wednesday,40,10,October,4,2025,P001,B0NXL00001,NXL-KIT-001,Electric Milk Frother,Kitchen,29.90,11.50,C001,SP - Milk Frother - AUTO,Sponsored Products,AUTO,18.00,2025-10-01,,AG001,Milk Frother - Auto,T002,AUTO,loose_match,,0.60,199,2,1.24,0,0,0.00,0.00,0.00,-1.24
2025-10-01,1,3,Wednesday,40,10,October,4,2025,P001,B0NXL00001,NXL-KIT-001,Electric Milk Frother,Kitchen,29.90,11.50,C001,SP - Milk Frother - AUTO,Sponsored Products,AUTO,18.00,2025-10-01,,AG001,Milk Frother - Auto,T003,AUTO,substitutes,,0.65,138,5,3.15,0,0,0.00,0.00,0.00,-3.15
2025-10-01,1,3,Wednesday,40,10,October,4,2025,P001,B0NXL00001,NXL-KIT-001,Electric Milk Frother,Kitchen,29.90,11.50,C001,SP - Milk Frother - AUTO,Sponsored Products,AUTO,18.00,2025-10-01,,AG001,Milk Frother - Auto,T004,AUTO,complements,,0.45,83,0,0.00,0,0,0.00,0.00,0.00,0.00
2025-10-01,1,3,Wednesday,40,10,October,4,2025,P002,B0NXL00002,NXL-KIT-002,Digital Kitchen Scale,Kitchen,24.90,8.50,C002,SP - Kitchen Scale - AUTO,Sponsored Products,AUTO,22.00,2025-10-01,,AG002,Kitchen Scale - Auto,T005,AUTO,close_match,,0.80,174,6,4.92,1,1,24.90,8.50,16.40,11.48
2025-10-01,1,3,Wednesday,40,10,October,4,2025,P002,B0NXL00002,NXL-KIT-002,Digital Kitchen Scale,Kitchen,24.90,8.50,C002,SP - Kitchen Scale - AUTO,Sponsored Products,AUTO,22.00,2025-10-01,,AG002,Kitchen Scale - Auto,T006,AUTO,loose_match,,0.65,201,3,2.16,0,0,0.00,0.00,0.00,-2.16
2025-10-01,1,3,Wednesday,40,10,October,4,2025,P002,B0NXL00002,NXL-KIT-002,Digital Kitchen Scale,Kitchen,24.90,8.50,C002,SP - Kitchen Scale - AUTO,Sponsored Products,AUTO,22.00,2025-10-01,,AG002,Kitchen Scale - Auto,T007,AUTO,substitutes,,0.70,166,8,6.40,1,1,24.90,8.50,16.40,10.00
2025-10-01,1,3,Wednesday,40,10,October,4,2025,P002,B0NXL00002,NXL-KIT-002,Digital Kitchen Scale,Kitchen,24.90,8.50,C002,SP - Kitchen Scale - AUTO,Sponsored Products,AUTO,22.00,2025-10-01,,AG002,Kitchen Scale - Auto,T008,AUTO,complements,,0.50,91,2,1.14,0,0,0.00,0.00,0.00,-1.14
2025-10-01,1,3,Wednesday,40,10,October,4,2025,P003,B0NXL00003,NXL-KIT-003,Insulated Travel Mug,Kitchen,34.90,14.00,C003,SP - Travel Mug - AUTO,Sponsored Products,AUTO,16.00,2025-10-01,,AG003,Travel Mug - Auto,T009,AUTO,close_match,,0.85,112,5,4.55,0,0,0.00,0.00,0.00,-4.55
2025-10-01,1,3,Wednesday,40,10,October,4,2025,P003,B0NXL00003,NXL-KIT-003,Insulated Travel Mug,Kitchen,34.90,14.00,C003,SP - Travel Mug - AUTO,Sponsored Products,AUTO,16.00,2025-10-01,,AG003,Travel Mug - Auto,T010,AUTO,loose_match,,0.70,134,4,3.12,1,1,34.90,14.00,20.90,17.78
